id,cash_request_id,type,status,category,total_amount,reason,created_at,updated_at,paid_at,from_date,to_date,charge_moment
19333,25769,instant_payment,rejected,,5.00,Instant Payment Cash Request 25769,2020-10-28 18:26:09.582877+00,2020-12-09 15:28:23.861333+00,2020-12-07 16:54:02.237895+00,,,after
21158,19981,incident,rejected,rejected_direct_debit,5.00,rejected direct debit,2020-11-01 22:13:59.433935+00,2020-11-01 22:13:59.433955+00,,,,after
13583,12952,incident,accepted,month_delay_on_payment,5.00,month delay on payment - 10/2020,2020-10-15 01:30:20.818256+00,2020-10-15 01:30:20.818285+00,2021-01-05 08:14:03.797188+00,,,after
7039,15474,instant_payment,rejected,,5.00,Instant Payment Cash Request 15474,2020-09-10 09:02:36.065377+00,2020-10-13 14:25:10.130414+00,2020-10-29 04:25:24.559928+00,,,after
14794,20043,postpone,cancelled,,5.00,Postpone Cash Request 20043,2020-10-19 12:15:59.091003+00,2020-10-19 12:15:59.091028+00,,2020-11-05 22:00:00+00,2020-12-05 11:00:00+00,after
1823,9338,postpone,accepted,,5.00,Postpone Cash Request 9338,2020-07-23 07:42:14.672547+00,2020-10-13 14:25:00.818674+00,2020-07-23 07:42:20.07498+00,2020-08-10 22:00:00+00,2020-08-21 07:42:12.195+00,before
17378,24326,instant_payment,accepted,,5.00,Instant Payment Cash Request 24326,2020-10-25 11:31:19.523473+00,2020-10-25 11:31:19.523495+00,2020-12-09 21:19:12.353293+00,,,after
20538,26569,instant_payment,accepted,,5.00,Instant Payment Cash Request 26569,2020-10-31 04:48:28.927098+00,2020-10-31 04:48:28.927119+00,2020-11-15 19:00:58.19813+00,,,after
15435,22702,instant_payment,accepted,,5.00,Instant Payment Cash Request 22702,2020-10-21 09:07:47.178896+00,2020-10-21 09:07:47.178919+00,2020-11-05 20:42:21.451582+00,,,after
14421,13940,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-17 22:18:54.901756+00,2020-10-17 22:18:54.90178+00,2020-10-26 12:52:12.749963+00,,,after
20940,26868,instant_payment,accepted,,5.00,Instant Payment Cash Request 26868,2020-11-01 06:49:38.023598+00,2020-11-01 06:49:38.023621+00,2020-11-16 19:52:09.608964+00,,,after
12034,19950,instant_payment,accepted,,5.00,Instant Payment Cash Request 19950,2020-10-08 21:23:47.101551+00,2020-10-13 14:25:03.811253+00,2020-11-05 20:16:48.820602+00,,,after
17963,18320,postpone,cancelled,,5.00,Postpone Cash Request 18320,2020-10-26 16:54:12.704967+00,2020-10-26 16:54:12.705002+00,,2020-11-06 11:00:00+00,2020-12-05 23:00:00+00,before
20544,26575,instant_payment,rejected,,5.00,Instant Payment Cash Request 26575,2020-10-31 06:40:01.860823+00,2020-10-31 06:40:01.860847+00,2021-01-09 05:39:23.865733+00,,,after
12715,14399,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-11 22:48:49.108473+00,2020-10-13 14:25:18.656998+00,2020-10-30 04:38:48.681193+00,,,after
14985,22313,instant_payment,accepted,,5.00,Instant Payment Cash Request 22313,2020-10-20 03:03:18.296268+00,2020-10-20 03:03:18.296298+00,2020-10-30 11:23:16.074307+00,,,after
15432,22699,instant_payment,accepted,,5.00,Instant Payment Cash Request 22699,2020-10-21 08:49:53.022688+00,2020-10-21 08:49:53.022713+00,2020-11-30 11:59:41.925877+00,,,after
20195,18158,postpone,cancelled,,5.00,Postpone Cash Request 18158,2020-10-30 16:51:44.303273+00,2020-10-30 16:51:44.303306+00,,2020-10-30 22:00:00+00,2020-11-05 23:00:00+00,before
19518,25903,instant_payment,accepted,,5.00,Instant Payment Cash Request 25903,2020-10-29 03:50:24.037688+00,2020-10-29 03:50:24.037711+00,2020-11-26 19:11:48.935549+00,,,after
19062,25528,instant_payment,accepted,,5.00,Instant Payment Cash Request 25528,2020-10-28 11:56:42.630374+00,2020-10-28 11:56:42.630403+00,2020-11-30 16:21:55.504824+00,,,after
18553,25132,instant_payment,accepted,,5.00,Instant Payment Cash Request 25132,2020-10-27 11:45:25.213854+00,2020-10-27 11:45:25.213878+00,2020-11-06 19:39:28.170236+00,,,after
15250,22551,instant_payment,accepted,,5.00,Instant Payment Cash Request 22551,2020-10-20 16:19:15.307817+00,2020-10-20 16:19:15.307846+00,2020-10-27 19:35:18.449008+00,,,after
13151,20879,instant_payment,accepted,,5.00,Instant Payment Cash Request 20879,2020-10-13 14:28:35.84745+00,2020-10-13 14:28:35.847472+00,2020-12-01 19:41:12.933857+00,,,after
20776,26771,instant_payment,accepted,,5.00,Instant Payment Cash Request 26771,2020-10-31 15:49:49.279931+00,2020-10-31 15:49:49.279955+00,2020-12-05 19:53:11.716039+00,,,after
15324,22608,instant_payment,accepted,,5.00,Instant Payment Cash Request 22608,2020-10-20 19:59:42.483629+00,2020-10-20 19:59:42.483651+00,2020-10-31 02:55:39.102547+00,,,after
20535,24867,postpone,cancelled,,5.00,Postpone Cash Request 24867,2020-10-31 03:45:22.324982+00,2020-10-31 03:45:22.325004+00,,2020-11-05 22:45:44.788155+00,2020-11-29 23:00:00+00,before
17030,24051,instant_payment,accepted,,5.00,Instant Payment Cash Request 24051,2020-10-24 12:23:11.20415+00,2020-10-24 12:23:11.20418+00,2020-11-10 10:27:05.458604+00,,,after
21174,21041,postpone,cancelled,,5.00,Postpone Cash Request 21041,2020-11-01 22:58:27.43695+00,2020-11-01 22:58:27.436973+00,,2020-10-31 23:00:00+00,2020-11-02 23:00:00+00,before
15879,22977,instant_payment,accepted,,5.00,Instant Payment Cash Request 22977,2020-10-22 09:52:58.258306+00,2020-10-22 09:52:58.258331+00,2020-11-02 19:54:34.031162+00,,,after
13484,21139,instant_payment,accepted,,5.00,Instant Payment Cash Request 21139,2020-10-14 18:06:28.716172+00,2020-10-14 18:06:28.716201+00,2020-11-12 05:22:45.850127+00,,,after
10078,18564,instant_payment,accepted,,5.00,Instant Payment Cash Request 18564,2020-09-30 12:28:52.265782+00,2020-10-13 14:25:09.497419+00,2020-11-03 19:32:19.72512+00,,,after
11511,19563,instant_payment,accepted,,5.00,Instant Payment Cash Request 19563,2020-10-07 05:20:15.674419+00,2020-10-13 14:25:04.011644+00,2020-11-06 04:27:28.0615+00,,,after
19519,25904,instant_payment,accepted,,5.00,Instant Payment Cash Request 25904,2020-10-29 03:53:03.489758+00,2020-10-29 03:53:03.489782+00,2020-11-05 20:57:04.093947+00,,,after
16959,23989,instant_payment,accepted,,5.00,Instant Payment Cash Request 23989,2020-10-24 10:22:47.111527+00,2020-10-24 10:22:47.111551+00,2020-11-16 02:57:54.271425+00,,,after
18554,25133,instant_payment,accepted,,5.00,Instant Payment Cash Request 25133,2020-10-27 11:45:32.097473+00,2020-10-27 11:45:32.097494+00,2020-11-03 19:52:43.672078+00,,,after
13720,21305,instant_payment,accepted,,5.00,Instant Payment Cash Request 21305,2020-10-15 12:23:08.911198+00,2020-10-15 12:23:08.911225+00,2020-11-03 19:50:56.874811+00,,,after
13951,21514,instant_payment,accepted,,5.00,Instant Payment Cash Request 21514,2020-10-16 08:41:32.06173+00,2020-10-16 08:41:32.061754+00,2020-11-13 06:49:31.063519+00,,,after
20425,26494,instant_payment,accepted,,5.00,Instant Payment Cash Request 26494,2020-10-30 18:37:59.997131+00,2020-10-30 18:37:59.997155+00,2021-01-07 13:09:12.261245+00,,,after
1766,2211,postpone,cancelled,,5.00,Postpone Cash Request 2211,2020-07-22 10:09:59.261298+00,2020-10-13 14:25:00.883659+00,,2020-07-31 22:00:00+00,2020-08-30 22:00:00+00,before
14986,22314,instant_payment,accepted,,5.00,Instant Payment Cash Request 22314,2020-10-20 03:08:03.583698+00,2020-10-20 03:08:03.583728+00,2020-11-03 19:49:08.895926+00,,,after
14795,18415,postpone,cancelled,,5.00,Postpone Cash Request 18415,2020-10-19 12:16:08.095498+00,2020-10-19 12:16:08.095521+00,,2020-11-04 22:00:00+00,2020-12-04 11:00:00+00,after
7552,2811,incident,accepted,month_delay_on_payment,5.00,month delay on payment - 9/2020,2020-09-13 23:51:04.030807+00,2020-10-13 14:25:02.608321+00,2020-12-31 06:03:57.061518+00,,,after
19763,26115,instant_payment,accepted,,5.00,Instant Payment Cash Request 26115,2020-10-29 14:03:43.199068+00,2020-10-29 14:03:43.19909+00,2020-11-08 19:14:38.591004+00,,,after
15415,22683,instant_payment,accepted,,5.00,Instant Payment Cash Request 22683,2020-10-21 08:13:37.349785+00,2020-10-21 08:13:37.349808+00,2020-11-12 13:34:38.48301+00,,,after
13549,12008,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-14 22:36:59.113534+00,2020-10-14 22:36:59.113561+00,2020-10-31 00:53:44.705061+00,,,after
14422,16534,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-17 22:18:57.179504+00,2020-10-17 22:18:57.179525+00,2020-10-22 09:33:28.71643+00,,,after
13276,4004,incident,accepted,month_delay_on_payment,5.00,month delay on payment - 8/2020,2020-10-14 04:12:46.178472+00,2020-10-14 04:12:46.178503+00,2021-01-13 03:45:16.394953+00,,,after
17421,24362,instant_payment,accepted,,5.00,Instant Payment Cash Request 24362,2020-10-25 13:09:20.429551+00,2020-10-25 13:09:20.429581+00,2020-10-31 02:59:22.730381+00,,,after
14702,22045,instant_payment,accepted,,5.00,Instant Payment Cash Request 22045,2020-10-19 05:58:58.344888+00,2020-10-19 05:58:58.34492+00,2020-10-31 04:58:58.198301+00,,,after
17031,13258,postpone,accepted,,5.00,Postpone Cash Request 13258,2020-10-24 12:26:43.513795+00,2020-10-24 12:27:14.219921+00,2020-10-24 12:26:57.963964+00,2020-10-25 16:00:00+00,2020-11-24 16:00:00+00,before
19063,19708,postpone,cancelled,,5.00,Postpone Cash Request 19708,2020-10-28 11:57:21.619507+00,2020-10-28 11:57:21.619531+00,,2020-11-09 22:00:00+00,2020-12-08 23:00:00+00,before
17379,18340,postpone,cancelled,,5.00,Postpone Cash Request 18340,2020-10-25 11:34:27.91135+00,2020-10-25 11:34:27.911375+00,,2020-11-04 22:00:00+00,2020-12-04 11:00:00+00,before
12722,14814,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-11 22:49:10.316062+00,2020-10-13 14:25:18.668343+00,2020-10-30 04:38:51.218841+00,,,after
20196,19870,postpone,cancelled,,5.00,Postpone Cash Request 19870,2020-10-30 16:51:45.994788+00,2020-10-30 16:51:45.994817+00,,2020-11-06 11:00:00+00,2020-12-05 23:00:00+00,before
20541,19849,postpone,cancelled,,5.00,Postpone Cash Request 19849,2020-10-31 06:04:44.053645+00,2020-10-31 06:04:44.053668+00,,2020-11-05 22:00:00+00,2020-11-11 23:00:00+00,before
16136,13765,incident,accepted,month_delay_on_payment,5.00,month delay on payment - 10/2020,2020-10-22 22:43:14.906716+00,2020-10-22 22:43:14.906747+00,2020-10-31 06:40:27.386282+00,,,after
15880,22981,instant_payment,accepted,,5.00,Instant Payment Cash Request 22981,2020-10-22 09:53:29.409046+00,2020-10-22 09:53:29.409069+00,2020-10-31 12:25:47.361208+00,,,after
20777,22840,postpone,cancelled,,5.00,Postpone Cash Request 22840,2020-10-31 15:54:32.419769+00,2020-10-31 15:54:32.419792+00,,2020-10-30 23:00:00+00,2020-11-29 23:00:00+00,before
15436,22703,instant_payment,accepted,,5.00,Instant Payment Cash Request 22703,2020-10-21 09:08:12.867472+00,2020-10-21 09:08:12.867502+00,2020-10-30 19:42:05.108885+00,,,after
21159,23676,postpone,cancelled,,5.00,Postpone Cash Request 23676,2020-11-01 22:18:12.793864+00,2020-11-01 22:18:12.793891+00,,2020-11-07 16:55:20.218+00,2020-11-13 11:00:00+00,before
9189,17730,instant_payment,accepted,,5.00,Instant Payment Cash Request 17730,2020-09-25 08:37:56.268144+00,2020-10-13 14:25:13.783493+00,2020-11-03 10:40:59.151315+00,,,after
21175,27004,instant_payment,accepted,,5.00,Instant Payment Cash Request 27004,2020-11-01 22:59:06.873413+00,2020-11-01 22:59:06.87344+00,2020-11-03 08:53:25.681582+00,,,after
8973,17518,instant_payment,accepted,,5.00,Instant Payment Cash Request 17518,2020-09-23 17:46:24.089742+00,2020-10-13 14:25:13.497654+00,2020-10-13 14:37:42.553121+00,,,after
13486,21141,instant_payment,accepted,,5.00,Instant Payment Cash Request 21141,2020-10-14 18:17:44.912959+00,2020-10-14 18:17:44.91298+00,2020-10-26 08:11:07.633184+00,,,after
14190,14924,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-16 23:48:55.379796+00,2020-10-16 23:48:55.379818+00,2020-11-07 05:10:51.711016+00,,,after
12231,20130,instant_payment,accepted,,5.00,Instant Payment Cash Request 20130,2020-10-09 12:07:21.144991+00,2020-10-13 14:25:03.577882+00,2020-11-05 20:18:51.863131+00,,,after
16299,23360,instant_payment,accepted,,5.00,Instant Payment Cash Request 23360,2020-10-23 10:12:59.511218+00,2020-10-23 10:12:59.511246+00,2020-11-11 01:00:53.683916+00,,,after
19764,26117,instant_payment,accepted,,5.00,Instant Payment Cash Request 26117,2020-10-29 14:05:36.521808+00,2020-10-29 14:05:36.52183+00,2020-12-02 19:29:42.319479+00,,,after
1767,7222,postpone,accepted,,5.00,Postpone Cash Request 7222,2020-07-22 10:13:20.971284+00,2020-10-13 14:25:00.949749+00,2020-07-22 10:13:25.508024+00,2020-08-06 22:00:00+00,2020-09-05 22:00:00+00,before
1540,7808,postpone,accepted,,5.00,Postpone Cash Request 7808,2020-07-17 12:50:00.769207+00,2020-10-13 14:25:00.950902+00,2020-07-17 12:50:06.017868+00,2020-08-12 13:21:55.028+00,2020-08-27 13:21:55.028+00,before
15437,21769,postpone,cancelled,,5.00,Postpone Cash Request 21769,2020-10-21 09:09:22.335075+00,2020-10-21 09:09:22.335099+00,,2020-10-30 22:00:00+00,2020-11-18 11:00:00+00,before
19520,24931,postpone,cancelled,,5.00,Postpone Cash Request 24931,2020-10-29 03:54:39.038503+00,2020-10-29 03:54:39.038528+00,,2020-11-10 23:51:00+00,2020-11-13 11:00:00+00,before
15881,23004,instant_payment,confirmed,,5.00,Instant Payment Cash Request 23004,2020-10-22 09:54:28.764252+00,2020-10-22 09:54:28.764282+00,,,,after
14436,14093,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-17 22:19:51.949479+00,2020-10-17 22:19:51.949533+00,2020-10-23 16:04:30.981404+00,,,after
17380,24327,instant_payment,accepted,,5.00,Instant Payment Cash Request 24327,2020-10-25 11:35:23.772054+00,2020-10-25 11:35:23.77208+00,2020-11-30 19:41:23.168413+00,,,after
17965,24762,instant_payment,accepted,,5.00,Instant Payment Cash Request 24762,2020-10-26 16:55:43.243106+00,2020-10-26 16:55:43.243135+00,2020-11-14 08:26:16.828266+00,,,after
17032,24054,instant_payment,accepted,,5.00,Instant Payment Cash Request 24054,2020-10-24 12:35:49.139522+00,2020-10-24 12:35:49.139544+00,2020-12-01 20:31:00.409468+00,,,after
20200,18741,postpone,cancelled,,5.00,Postpone Cash Request 18741,2020-10-30 16:51:54.802916+00,2020-10-30 16:51:54.802947+00,,2020-11-03 22:00:00+00,2020-11-04 23:00:00+00,before
11597,19620,instant_payment,accepted,,5.00,Instant Payment Cash Request 19620,2020-10-07 09:58:09.54069+00,2020-10-13 14:25:16.995975+00,2020-11-10 18:30:26.187207+00,,,after
10322,18726,instant_payment,accepted,,5.00,Instant Payment Cash Request 18726,2020-10-01 17:26:30.236954+00,2020-10-13 14:25:06.507615+00,2020-11-30 00:46:52.176115+00,,,after
19064,25530,instant_payment,accepted,,5.00,Instant Payment Cash Request 25530,2020-10-28 11:57:29.798459+00,2020-10-28 11:57:29.798481+00,2020-11-07 19:53:35.742186+00,,,after
20545,18734,postpone,cancelled,,5.00,Postpone Cash Request 18734,2020-10-31 06:41:14.340905+00,2020-10-31 06:41:14.34093+00,,2020-11-06 22:00:00+00,2020-11-30 23:00:00+00,before
20426,20221,postpone,accepted,,5.00,Postpone Cash Request 20221,2020-10-30 18:38:40.883654+00,2020-10-30 18:38:40.883677+00,2020-10-30 18:38:45.047496+00,2020-10-30 22:00:00+00,2020-11-16 23:00:00+00,before
20533,26566,instant_payment,accepted,,5.00,Instant Payment Cash Request 26566,2020-10-31 03:03:08.766313+00,2020-10-31 03:03:08.766336+00,2020-11-30 10:52:44.717612+00,,,after
20942,18606,postpone,cancelled,,5.00,Postpone Cash Request 18606,2020-11-01 07:22:11.211076+00,2020-11-01 07:22:11.211099+00,,2020-11-03 22:00:00+00,2020-11-30 11:00:00+00,before
20778,26773,instant_payment,accepted,,5.00,Instant Payment Cash Request 26773,2020-10-31 15:57:03.54732+00,2020-10-31 15:57:03.547342+00,2020-11-07 14:41:40.973555+00,,,after
14423,15858,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-17 22:18:59.467386+00,2020-10-17 22:18:59.467409+00,2020-11-02 06:11:15.785746+00,,,after
21176,15272,postpone,cancelled,,5.00,Postpone Cash Request 15272,2020-11-01 23:01:27.934752+00,2020-11-01 23:01:27.934782+00,,2020-10-31 23:00:00+00,2020-11-30 23:00:00+00,before
20542,14781,postpone,cancelled,,5.00,Postpone Cash Request 14781,2020-10-31 06:17:36.678076+00,2020-10-31 06:17:36.6781+00,,2020-11-03 23:00:00+00,2020-11-04 23:00:00+00,before
13721,20859,instant_payment,accepted,,5.00,Instant Payment Cash Request 20859,2020-10-15 12:23:46.951001+00,2020-10-15 12:23:46.951022+00,2020-11-04 04:39:10.828998+00,,,after
21160,23676,postpone,cancelled,,5.00,Postpone Cash Request 23676,2020-11-01 22:18:20.603622+00,2020-11-01 22:18:20.603646+00,,2020-11-07 16:55:20.218+00,2020-11-13 11:00:00+00,before
11202,19372,instant_payment,accepted,,5.00,Instant Payment Cash Request 19372,2020-10-06 06:34:48.209743+00,2020-10-13 14:25:10.240365+00,2020-11-03 05:10:00.146645+00,,,after
13952,21516,instant_payment,accepted,,5.00,Instant Payment Cash Request 21516,2020-10-16 08:48:12.482932+00,2020-10-16 08:48:12.482954+00,2020-11-04 19:50:15.953049+00,,,after
13153,20883,instant_payment,accepted,,5.00,Instant Payment Cash Request 20883,2020-10-13 14:44:49.159847+00,2020-10-13 14:44:49.159867+00,2020-11-05 20:26:17.198151+00,,,after
14437,21871,instant_payment,accepted,,5.00,Instant Payment Cash Request 21871,2020-10-17 22:22:08.47887+00,2020-10-17 22:22:08.478892+00,2020-11-06 09:05:12.946227+00,,,after
14191,16101,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-16 23:48:56.815678+00,2020-10-16 23:48:56.815703+00,2020-11-21 15:55:58.716537+00,,,after
14988,22083,postpone,accepted,,5.00,Postpone Cash Request 22083,2020-10-20 03:12:13.861092+00,2020-10-20 03:12:13.861123+00,2020-10-20 03:12:18.339415+00,2020-11-02 22:00:00+00,2020-11-08 23:00:00+00,before
20779,26775,instant_payment,accepted,,5.00,Instant Payment Cash Request 26775,2020-10-31 15:59:03.514084+00,2020-10-31 15:59:03.514106+00,2020-11-15 19:01:40.686236+00,,,after
14797,22139,instant_payment,accepted,,5.00,Instant Payment Cash Request 22139,2020-10-19 12:19:19.270776+00,2020-10-19 12:19:19.270798+00,2020-11-09 19:09:07.741306+00,,,after
